word	frequency	word_lower
ones	16074289	ones
longer ,	1124785	longer ,
higher ,	710014	higher ,
any ,	1496560	any ,
one .	12059624	one .
anyone	14355821	anyone
stop	16470671	stop
flying	4200420	flying
straight	10602691	straight
sun ?	49710	sun ?
thought ,	6401996	thought ,
higher ?	14487	higher ?
bag	5370600	bag
am	41836698	am
king ! '	2715	king ! '
accord ,	168944	accord ,
accord	1854166	accord
' Come	380746	' come
back ,	7231244	back ,
back !	274194	back !
you . '	771031	you . '
' Except	21430	' except
Except	2137696	except
me ! '	107471	me ! '
shrill ,	51473	shrill ,
shrill	416532	shrill
voice ,	3331574	voice ,
voice	26116077	voice
without	84166493	without
rose	8709183	rose
eagle 's	56121	eagle 's
lain	396508	lain
hidden	6412449	hidden
feathers .	202496	feathers .
feathers	1311688	feathers
guile	119870	guile
ace	369113	ace
sleeve ,	135774	sleeve ,
sleeve	990393	sleeve
laughed	5955735	laughed
easy	18267075	easy
outwit	67587	outwit
mounted ,	161694	mounted ,
mounted	3327156	mounted
sight ,	1272511	sight ,
folding	981146	folding
wings	3132856	wings
sank	1447624	sank
crying	3000627	crying
shrilly ,	9114	shrilly ,
shrilly	45559	shrilly
tricked	231363	tricked
sensed	1424388	sensed
that .	13340784	that .
arms .	2186251	arms .
' You ,	23971	' you ,
king ? '	2927	king ? '
fuming	101601	fuming
anger .	983027	anger .
anger	6714851	anger
' You	3826707	' you
breaking	4739864	breaking
rule	22483902	rule
book ,	7018613	book ,
book	49033521	book
you ,	22906349	you ,
simply	28445238	simply
reign	2920841	reign
us . '	190443	us . '
us	108913586	us
said ,	40913812	said ,
everyone	14473465	everyone
start	21599088	start
clean	8058996	clean
slate	643177	slate
perform	10367531	perform
challenging	3000097	challenging
task .	2238993	task .
task	17857915	task
decide	8384940	decide
real	40475381	real
king . '	10887	king . '
case	83294081	case
resolved	4207260	resolved
making	44514896	making
condition ,	2166005	condition ,
condition	20353662	condition
deepest	1323712	deepest
despised	764300	despised
Confident ,	5783	confident ,
Confident	82439	confident
remained ,	380077	remained ,
played	13062452	played
cards	5502348	cards
right ,	8427478	right ,
wallowed	41412	wallowed
sand ,	783889	sand ,
sand	5444594	sand
duck	989240	duck
strove	448359	strove
dig	1306987	dig
hole	5831470	hole
task !	12859	task !
practically	3117106	practically
face .	6823450	face .
nameless	315375	nameless
pitch	3008689	pitch
mouse 's	21613	mouse 's
hole ,	585758	hole ,
creeping	620140	creeping
avail .	269325	avail .
avail	858069	avail
remaining	8938882	remaining
littlest	30873	littlest
outwitted	48600	outwitted
again ,	13598035	again ,
angrily	807887	angrily
before .	6374323	before .
' Do	1326002	' do
think	67200350	think
way ?	790908	way ?
No ,	10122712	no ,
no !	464648	no !
shall	44913437	shall
stay	15085046	stay
till	7643652	till
die	17676334	die
hunger ! '	226	hunger ! '
shut	4903290	shut
unwillingly ,	38863	unwillingly ,
unwillingly	146941	unwillingly
bade	451170	bade
watch	9577111	watch
carefully	10230063	carefully
bed ,	3379531	bed ,
tired ,	741750	tired ,
assigned	7404078	assigned
stand	15695998	stand
guard	5217577	guard
job	25803539	job
lonely	2129873	lonely
wearisome	92378	wearisome
staring	2907063	staring
hole .	727086	hole .
close	31505401	close
eye	15763611	eye
other , '	43547	other , '
thought .	5203531	thought .
closed	13604408	closed
stared	4513179	stared
steadfastly	201439	steadfastly
open ,	2509347	open ,
asleep .	896194	asleep .
guarded	1152523	guarded
peeped	115964	peeped
owl 's	26838	owl 's
tight	4398874	tight
shut ,	313641	shut ,
slipped	2912837	slipped
shout ,	204114	shout ,
shout	1215676	shout
king '	226430	king '
flew ,	58957	flew ,
better	48996201	better
show	38166852	show
fear	17198011	fear
daylights	26738	daylights
flies	1661324	flies
nighttime ,	18101	nighttime ,
nighttime	309088	nighttime
hating	301322	hating
pursuing	1954554	pursuing
bird ,	550581	bird ,
having	42656711	having
made	132945317	made
crept .	3183	crept .
keeps	3582898	keeps
fears	3918488	fears
punish	1322732	punish
cunning .	64495	cunning .
rejection	3517329	rejection
bitter	3179269	bitter
pill	720689	pill
swallow	1121515	swallow
slip	3085226	slip
hides	799709	hides
hedges ,	82104	hedges ,
hedges	364625	hedges
thinks	4855796	thinks
safe ,	981663	safe ,
sings	691024	sings
mockery	428089	mockery
' Yes ,	857534	' yes ,
Yes	19605775	yes
yes ,	3197368	yes ,
hedge - king ,	0	hedge - king ,
hedge - king	0	hedge - king
hedge	1102235	hedge
hedge - king ! '	0	hedge - king ! '
ten	19239259	ten
years	114423406	years
old ,	3637922	old ,
figure	20104468	figure
Elvis	650069	elvis
Presley	256517	presley
guy	5546978	guy
rest	23781741	rest
boys	11013213	boys
have .	2392697	have .
different	94725345	different
us .	12508125	us .
head ,	5398558	head ,
legs .	1258718	legs .
something	56397999	something
pretty	9374625	pretty
superlative	153725	superlative
young	42619892	young
orphanage	253927	orphanage
wrapped	2842395	wrapped
finger .	603297	finger .
finger	5091093	finger
nine	9145840	nine
o'clock	3555398	o'clock
Saturday	4006925	saturday
morning ,	4986889	morning ,
figured	2453961	figured
ask	22058779	ask
Eugene	1514603	eugene
Correthers ,	0	correthers ,
Correthers	0	correthers
older	14300395	older
smarter	333103	smarter
boys ,	1304704	boys ,
special .	391256	special .
special	29951345	special
anything	29918715	anything
Elvis 's	37482	elvis 's
personality ,	996598	personality ,
personality	7645081	personality
wavy	309794	wavy
moved	19311958	moved
body .	6367174	body .
body	53702614	body
half	36278645	half
hour	16736533	hour
later ,	11052743	later ,
later	55784164	later
main	29437798	main
dining	2910400	dining
room	42569269	room
matron	214787	matron
going	55442137	going
downtown	1857146	downtown
Jacksonville ,	110738	jacksonville ,
Jacksonville	263906	jacksonville
Florida	5211391	florida
Buster	233013	buster
Brown	9564348	brown
shoes	4271116	shoes
haircut .	49136	haircut .
haircut	210866	haircut
got	43005809	got
idea ,	2100337	idea ,
idea	32654099	idea
hit	9467805	hit
ton	1397730	ton
bricks .	120695	bricks .
bricks	943998	bricks
secret ,	685065	secret ,
secret	8933332	secret
get .	563789	get .
sun ,	1752633	sun ,
talked	6615885	talked
about .	3872776	about .
haircut ,	48900	haircut ,
simple	25423655	simple
orphanage ,	42969	orphanage ,
particularly	27491414	particularly
loquacious .	3953	loquacious .
loquacious	49783	loquacious
everybody ,	262299	everybody ,
everybody	4066554	everybody
normally	7271856	normally
feared ,	232683	feared ,
look	47510867	look
learn	18725006	learn
move	24909837	move
rich	12456985	rich
famous	9360112	famous
nothing .	3331253	nothing .
nothing	38429085	nothing
shoes ,	909409	shoes ,
ear	5829757	ear
ear .	1233385	ear .
shined	111445	shined
brightly ,	78247	brightly ,
brightly	855309	brightly
bones	4376162	bones
x - ray	704943	x - ray
x	16477178	x
ray	4153456	ray
machine	11313867	machine
shoe	1458588	shoe
store	10270499	store
green .	662512	green .
green	12917565	green
ready	16067422	ready
practice	31369864	practice
girls	12006242	girls
loved ,	413164	loved ,
shoes .	833886	shoes .
though ,	5173801	though ,
needed	29198561	needed
complete	23000029	complete
look .	1800908	look .
unassuming ,	23873	unassuming ,
unassuming	139149	unassuming
unembellished	9697	unembellished
barbershop ,	14921	barbershop ,
barbershop	76561	barbershop
free	39192789	free
orphans .	64839	orphans .
orphans	454850	orphans
supposed	9366370	supposed
slowly	10859756	slowly
wait	9441077	wait
called ,	1509476	called ,
barber	394790	barber
chairs	2514661	chairs
climbed	2532328	climbed
board	13482309	board
placed	19012612	placed
sit	9144370	sit
higher .	770317	higher .
beaming	304264	beaming
smile	8995820	smile
want	61590617	want
Elvis 's ? '	0	elvis 's ? '
asked .	7716284	asked .
barber ,	54790	barber ,
genial	292785	genial
man ,	11783972	man ,
grinned	1562726	grinned
try	21092781	try
best .	1904668	best .
best	50874818	best
started	22218842	started
cut ,	713846	cut ,
matron ,	37118	matron ,
watching	7234206	watching
ice ,	657111	ice ,
ice	8173957	ice
motioned	584481	motioned
standing .	539691	standing .
whispered	3750988	whispered
caused	16335731	caused
shake	2330953	shake
' No ' .	12991	' no ' .
response ,	2019361	response ,
response	28758864	response
walked	12580771	walked
office	24308787	office
chair	8889250	chair
squeaked	116770	squeaked
rolled	3677748	rolled
floor	15763266	floor
spoke	11008911	spoke
cutting	5223062	cutting
hair .	2258303	hair .
thing	36695676	thing
knew ,	1578650	knew ,
allowed	17955384	allowed
give	51024596	give
cut .	617918	cut .
' Why	954184	' why
not ? '	93402	not ? '
desperately .	85279	desperately .
desperately	1575581	desperately
stopped	11653050	stopped
answer ,	1913421	answer ,
answer	23098124	answer
expression ,	1747310	expression ,
expression	20601318	expression
tell	34311287	tell
Within	6298400	within
minutes ,	2929994	minutes ,
buzz	435991	buzz
me .	30125409	me .
finished	8993459	finished
shaving	338391	shaving
powder ,	445031	powder ,
powder	3003953	powder
handed	5039115	handed
nickel	929620	nickel
snack	604773	snack
myself	19447387	myself
candy	1070570	candy
bar .	1309982	bar .
bar	9621120	bar
hungry .	507756	hungry .
hungry	2856691	hungry
' I 'm	1003080	' i 'm
I 'm	39638273	i 'm
'm	39638280	'm
sorry ,	1358528	sorry ,
sorry	5821062	sorry
baby , '	11720	baby , '
baby	11074167	baby
chair .	1662233	chair .
wiped	1470454	wiped
tears	6156948	tears
brushed	1150796	brushed
accumulated	2139868	accumulated
shiny	940068	shiny
floor ,	2538254	floor ,
pants ,	334716	pants ,
pants	1736028	pants
sullenly	99652	sullenly
door .	6183006	door .
sort	15450103	sort
funny	2653472	funny
like .	2652491	like .
upset	3061407	upset
damn	2010010	damn
bitch ,	176259	bitch ,
bitch	945530	bitch
lady . '	13932	lady . '
lady	6862097	lady
yelled	1620781	yelled
lungs ,	449994	lungs ,
lungs	2205601	lungs
walking	7623336	walking
toward	32888621	toward
office ,	3625706	office ,
could .	1556421	could .
anger ,	1327225	anger ,
brick	2410149	brick
smoking	3671304	smoking
cigarette .	344525	cigarette .
cigarette	2291328	cigarette
man .	8347686	man .
smiled	7544213	smiled
me ,	26530394	me ,
patted	663234	patted
bald	737288	bald
coot	32122	coot
gon na	74	gon na
gon	81253	gon
na	1909460	na
anytime	511912	anytime
soon .	1460459	soon .
asked ,	4861568	asked ,
bones ? '	781	bones ? '
story	31595058	story
Mr.	29597778	mr.
Sticky	63728	sticky
Abby 's	49601	abby 's
Abby	596695	abby
tank .	401301	tank .
tank	3246402	tank
' He 's	236003	' he 's
He 's	6196810	he 's
small , '	4927	small , '
mom	2069091	mom
peered	860488	peered
snail .	19233	snail .
grow	9734379	grow
pulled	9729077	pulled
pajama	53699	pajama
bottoms	409011	bottoms
down .	7958646	down .
Usually ,	829898	usually ,
Usually	2474597	usually
crack	2946791	crack
dawn ,	448926	dawn ,
jumped	2900435	jumped
switched	1626812	switched
tank ,	341571	tank ,
contained	9402181	contained
three	94037962	three
fish .	1147139	fish .
spotted	1681996	spotted
taken	43883248	taken
clinging	730204	clinging
glass	12138452	glass
bottom ,	849615	bottom ,
bottom	12039696	bottom
gravel .	120078	gravel .
gravel	1307986	gravel
school	49507062	school
Abby ,	57325	abby ,
encouraged	6234031	encouraged
teacher ,	1731170	teacher ,
teacher	14634862	teacher
wrote	20759269	wrote
excitedly	380331	excitedly
mysterious	2586545	mysterious
Sticky ,	2263	sticky ,
mistake	4855710	mistake
class	42067820	class
teased ,	58897	teased ,
teased	572460	teased
small .	1397425	small .
evening ,	2400081	evening ,
weed	914901	weed
bobbing	221230	bobbing
bubbles .	115927	bubbles .
bubbles	894966	bubbles
' That	1287173	' that
looks	10558295	looks
fun ! '	2901	fun ! '
fun	5883928	fun
exclaimed .	502853	exclaimed .
imagine	7187692	imagine
hang	2829330	hang
probably	29000763	probably
tiring .	34212	tiring .
tiring	242176	tiring
grown	7750420	grown
bit	15770554	bit
breakfast .	755793	breakfast .
breakfast	4103728	breakfast
' Just	302591	' just
gobbled	71105	gobbled
that , '	354519	that , '
responded	4723881	responded
preparing	3933717	preparing
whined	168315	whined
did n't	47073	did n't
would n't	23745	would n't
cute	676322	cute
anymore .	1558911	anymore .
anymore	2743132	anymore
' Small	33266	' small
things ,	6207074	things ,
cute ,	108906	cute ,
right ? '	85333	right ? '
herself .	3064382	herself .
art	24358486	art
class ,	4758697	class ,
pieces	9098205	pieces
paper	26454718	paper
expensive ,	699980	expensive ,
expensive	6087651	expensive
draw	9102897	draw
elephant ,	165592	elephant ,
elephant	1213127	elephant
mind	42835533	mind
using	56850112	using
drawing	8745005	drawing
encouraging ,	130112	encouraging ,
encouraging	2968133	encouraging
remarked	2825594	remarked
creative	6663180	creative
beamed	404320	beamed
giving	16417665	giving
seal	2323646	seal
approval .	768769	approval .
approval	5058348	approval
Mom ,	514279	mom ,
convinced	5274085	convinced
cleaning	2786708	cleaning
vacuum ,	204753	vacuum ,
vacuum	2420726	vacuum
' hoover ' .	0	' hoover ' .
hoover	5310	hoover
' Where 's	50388	' where 's
Where 's	698948	where 's
Sticky ? '	43	sticky ? '
school .	5471770	school .
' On	631429	' on
side , '	16313	side , '
side	48798225	side
added ,	2578566	added ,
added	21322284	added
' Do n't	43	' do n't
Do n't	1112	do n't
worry .	672655	worry .
worry	5621974	worry
extra	7759192	extra
sorry . '	30627	sorry . '
sides	9829499	sides
sign	13731175	sign
couple	11386681	couple
days	45157467	days
ago .	4272108	ago .
sad .	440094	sad .
sad	4094656	sad
hours	25015518	hours
clears	295123	clears
careful	7678101	careful
bedroom	3784939	bedroom
check	12411063	check
again .	16302535	again .
settled	6959663	settled
clear ,	2710261	clear ,
Sticky .	1076	sticky .
kneeled	87036	kneeled
cleared	2753286	cleared
thoroughly ,	176743	thoroughly ,
thoroughly	3882420	thoroughly
nerves	2442763	nerves
descended	1647453	descended
stairs .	852957	stairs .
stairs	3465933	stairs
study ,	5186322	study ,
study	52155023	study
books	20471356	books
papers ,	1373208	papers ,
papers	8290715	papers
working	34445827	working
impatient	1051793	impatient
worried	3879612	worried
bad	19213952	bad
news .	1477314	news .
news	14013481	news
' He 'll	28114	' he 'll
He 'll	808987	he 'll
'll	42870319	'll
up , '	84356	up , '
Then ,	6448429	then ,
add	13812708	add
fuel	5641113	fuel
flames ,	224933	flames ,
flames	1627160	flames
raised	14251814	raised
tone	7827418	tone
dismissively ,	12495	dismissively ,
dismissively	72289	dismissively
' For	547995	' for
being ,	2870319	being ,
Abby .	46719	abby .
I 've	15923265	i 've
've	32992191	've
masses	3770528	masses
work	135320001	work
catch	6166843	catch
on . '	109530	on . '
temper	1831950	temper
angry	5736154	angry
hell .	763558	hell .
hell	5879237	hell
' You 've	141306	' you 've
You 've	2574939	you 've
hoovered	2093	hoovered
up ,	13671506	up ,
have n't	12522	have n't
you ? '	588688	you ? '
accusingly .	24647	accusingly .
accusingly	56235	accusingly
denied	5318967	denied
version	13153669	version
careful ,	491169	careful ,
hard	30493645	hard
see .	2985482	see .
' What 's	284448	' what 's
What 's	5041842	what 's
wrong	16679348	wrong
small ? '	1020	small ? '
' Nothing	171442	' nothing
makes	29037262	makes
find . '	5630	find . '
' Or	99327	' or
notice , '	4333	notice , '
feeling	17997939	feeling
small ,	4554821	small ,
overlooked	1600456	overlooked
storming	176142	storming
room .	8213060	room .
Mom 's	206145	mom 's
appeared .	705287	appeared .
insensitive	634046	insensitive
earlier .	2294746	earlier .
earlier	24441419	earlier
burner	401502	burner
occupied	5672713	occupied
breathing	4103276	breathing
account	30598675	account
ignore	3536275	ignore
strained	1123191	strained
remain	16517925	remain
with ,	5656914	with ,
glasses	2785708	glasses
search	15119703	search
effectively .	771138	effectively .
effectively	7961745	effectively
' This	1220828	' this
powerful	14104583	powerful
important	77762315	important
occasions	4218239	occasions
hunting , '	1143	hunting , '
said .	30521537	said .
trying	20128234	trying
butter	2864124	butter
succeed ,	406542	succeed ,
succeed	3569988	succeed
own .	5822575	own .
' I 've	378146	' i 've
magnifying	254574	magnifying
glass , '	4424	glass , '
remembered	6932479	remembered
rushed	2373651	rushed
beside	6485168	beside
sat ,	328046	sat ,
shuffling	313281	shuffling
peering	512812	peering
pebbles	401910	pebbles
weed .	62350	weed .
imagine ,	481783	imagine ,
out ?	839621	out ?
point	68533138	point
speck	211435	speck
deceptively	175132	deceptively
live	26729203	live
animal .	738855	animal .
animal	11811207	animal
quits ,	16081	quits ,
quits	145228	quits
' Ah	246462	' ah
Ah	3009816	ah
ha ! '	4137	ha ! '
ha	2843936	ha
Tucked	43216	tucked
curve	7553731	curve
archway ,	25948	archway ,
archway	144273	archway
perfectly	5795561	perfectly
stone ,	1142126	stone ,
sound .	1570412	sound .
sound	20852205	sound
count	6722362	count
on , '	136869	on , '
relief .	1230814	relief .
relief	8320652	relief
addition	27829047	addition
family	63998193	family
from .	1178004	from .
suspect	3776247	suspect
guilty ,	420646	guilty ,
guilty	4630606	guilty
think ? '	56617	think ? '
Mom .	314897	mom .
cozy ,	46906	cozy ,
cozy	405261	cozy
squeeze .	90003	squeeze .
squeeze	987794	squeeze
' Budge	425	' budge
Budge	79763	budge
push	4573513	push
bottom .	904283	bottom .
ca n't	66	ca n't
ca	1597510	ca
edge . '	2835	edge . '
edge	11438505	edge
' Good	352587	' good
heavens ,	359849	heavens ,
heavens	1530589	heavens
then .	2772116	then .
happen ?	447949	happen ?
happen	10393176	happen
could 've	161022	could 've
this .	8692872	this .
you 'll	8238672	you 'll
up . '	140086	up . '
chest	6875624	chest
smiled .	1897725	smiled .
text	27842184	text
message	15214329	message
Lucy	2248764	lucy
Josephs	34246	josephs
failure .	2051277	failure .
failure	16636624	failure
ugly ,	282263	ugly ,
ugly	1978872	ugly
style	17652570	style
hated	2514435	hated
least	48582456	least
Lucy .	145047	lucy .
lot	21269989	lot
struggling	2265667	struggling
understand .	2103298	understand .
understand	29240637	understand
actual	16047083	actual
note	19803831	note
party	30584496	party
tonight ,	771535	tonight ,
tonight	3253734	tonight
already !	51895	already !
Lucy ,	282020	lucy ,
receiving	6453718	receiving
messages	6289314	messages
ago ,	4956581	ago ,
tapped	980527	tapped
mobile	3866719	mobile
screen	9231682	screen
view .	3719965	view .
view	44626238	view
tap	1603952	tap
erase	582347	erase
trace	4431173	trace
' Was	116420	' was
messages ? '	668	messages ? '
driving	6322359	driving
car .	2994275	car .
car	19890198	car
confirmed	5244834	confirmed
suspicion	2664602	suspicion
founded	6055898	founded
answered	9012555	answered
dejectedly ,	5970	dejectedly ,
dejectedly	43180	dejectedly
was . '	39078	was . '
' Have n't	25	' have n't
reported	20995896	reported
yet ? '	26088	yet ? '
yet	39957037	yet
Jill ,	86823	jill ,
Jill	948278	jill
Lucy 's	183635	lucy 's
sister	9970875	sister
passenger	2075639	passenger
seat .	1262942	seat .
seat	7992231	seat
' Yes , '	160340	' yes , '
lying	6109484	lying
teeth .	1253860	teeth .
teeth	6197192	teeth
sender	782406	sender
jealous	1313951	jealous
arguments ,	803466	arguments ,
arguments	7973275	arguments
effort	16657004	effort
comfort	4887104	comfort
daughter .	1423626	daughter .
daughter	13702865	daughter
phone	10537598	phone
months	25863713	months
admitted	5728725	admitted
regret	2074374	regret
bugging	78853	bugging
loud	4009477	loud
sighed ,	352672	sighed ,
sighed	2311062	sighed
Lucy . '	1851	lucy . '
' No ,	787159	' no ,
fine .	1638050	fine .
love	42743185	love
it , '	586013	it , '
knowing	8651713	knowing
affording	271571	affording
mother .	3476567	mother .
though .	1406447	though .
sending	4191416	sending
messages ,	673604	messages ,
number ,	2626961	number ,
life .	22217297	life .
texts	8525720	texts
now ,	13036993	now ,
abusive	930149	abusive
hurtful .	23655	hurtful .
hurtful	232596	hurtful
person	54204685	person
messaging	349133	messaging
achieve	11214067	achieve
hateful	314340	hateful
messages .	806755	messages .
school ,	5660207	school ,
shadow	4318021	shadow
November	14535630	november
shiver	405110	shiver
run	26037535	run
spine .	530798	spine .
spine	2411278	spine
Hastened	2541	hastened
concert ,	219541	concert ,
concert	2131949	concert
hesitantly	183850	hesitantly
stepped	4952899	stepped
final	21602425	final
become	55719054	become
involved	27319869	involved
helping	5842856	helping
organize	2836534	organize
talent	2979540	talent
show ,	1603347	show ,
position	40450148	position
seriously .	910239	seriously .
seriously	6163929	seriously
hurried	1948452	hurried
pulling	2928123	pulling
worn ,	183093	worn ,
worn	3644517	worn
oversized	280472	oversized
coat	4235100	coat
originally	6172483	originally
belonged	3143797	belonged
dry	10398401	dry
filled	12364416	filled
excitement	3427417	excitement
regretted	652809	regretted
participate	5783380	participate
show .	1333445	show .
' To	563653	' to
waste	7350025	waste
shame ,	555240	shame ,
shame	3127197	shame
such	209032143	such
voice , '	72073	voice , '
argued	10881822	argued
considering	5983700	considering
sing .	306130	sing .
sing	3364195	sing
night ,	7249022	night ,
through .	2005845	through .
does	97537337	does
feel	33877718	feel
tall	5770858	tall
lanky	127017	lanky
giraffe ? '	62	giraffe ? '
giraffe	115040	giraffe
surprise .	1154581	surprise .
surprise	6442612	surprise
popular	17347904	popular
girls ,	1370723	girls ,
was n't ,	257	was n't ,
began ,	1298255	began ,
proud	4302948	proud
different .	3298327	different .
text ,	3294516	text ,
self - confidence	529891	self - confidence
self	49631018	self
confidence	9172098	confidence
deflated	176769	deflated
end ,	5476196	end ,
doing	28432647	doing
agree	9151314	agree
choice	19468150	choice
stage	22343407	stage
beckoning	169582	beckoning
encouragingly	68162	encouragingly
performer .	109882	performer .
performer	887847	performer
audience ,	1343497	audience ,
audience	10967125	audience
stage ,	2975315	stage ,
microphone	771874	microphone
applaud	229603	applaud
sense	45135376	sense
anticipation	1466794	anticipation
emanate	225749	emanate
curtain .	152375	curtain .
curtain	1397822	curtain
curtains	1090999	curtains
part ,	5759131	part ,
cast	7604932	cast
wings ,	519386	wings ,
positive	21509569	positive
thumbs	427623	thumbs
she ,	1165982	she ,
unlike	4911919	unlike
sister ,	1910785	sister ,
judging	1244700	judging
audience .	1861838	audience .
crowd	6087995	crowd
notes	12057816	notes
music	21118941	music
sudden	6001534	sudden
calm	4147380	calm
everything	22592480	everything
threatened	4763790	threatened
over ,	4291144	over ,
feel .	663855	feel .
music ,	3536549	music ,
sing ,	359363	sing ,
pain	19787856	pain
causing	5359951	causing
flowed	1098833	flowed
words	48067530	words
important ,	4100938	important ,
latched	113327	latched
onto .	26763	onto .
song	7155630	song
slipping	901293	slipping
died	16249807	died
cheers	379404	cheers
applause	805276	applause
expected .	1490341	expected .
enjoy	7576280	enjoy
achievement	5157662	achievement
belonging	3705244	belonging
cheering	470747	cheering
loudest	154069	loudest
crowd ,	777195	crowd ,
pride	4797865	pride
wings .	475077	wings .
owed	1830581	owed
reminding	819957	reminding
capable	8807187	capable
was .	4991673	was .
bleeped	5476	bleeped
oblivion	450174	oblivion
belonged .	173182	belonged .
Roswell	132501	roswell
UFO	261836	ufo
Incident	368942	incident
alleged	3370226	alleged
recovery	6416061	recovery
extra - terrestrial	11044	extra - terrestrial
terrestrial	1057599	terrestrial
debris ,	173959	debris ,
debris	1484718	debris
alien	2807606	alien
corpses ,	77043	corpses ,
corpses	543488	corpses
object	25819446	object
crashed	751482	crashed
Roswell ,	29710	roswell ,
Mexico ,	2421596	mexico ,
Mexico	10951300	mexico
July	18277074	july
eighth ,	72194	eighth ,
eighth	1871957	eighth
nineteen	1192019	nineteen
forty - seven .	9460	forty - seven .
forty - seven	152521	forty - seven
forty	6900914	forty
seven	14902531	seven
seventies ,	216735	seventies ,
seventies	690564	seventies
subject	36611667	subject
intense	5410331	intense
controversy	3293733	controversy
conspiracy	1611982	conspiracy
theories	8195005	theories
nature	43505346	nature
crashed .	53491	crashed .
United	54810382	united
States	51806313	states
military	24266208	military
maintains	2367582	maintains
recovered	3191950	recovered
experimental	7782812	experimental
high - altitude	78769	high - altitude
altitude	1469111	altitude
surveillance	1819934	surveillance
balloon	1308189	balloon
classified	3872694	classified
program	33194314	program
' Mogul ' .	0	' mogul ' .
Mogul	92922	mogul
proponents	893203	proponents
maintain	12314211	maintain
fact ,	18250560	fact ,
craft	2700090	craft
bodies	11262304	bodies
recovered ,	257172	recovered ,
engaged	7793318	engaged
cover - up .	26722	cover - up .
cover - up	125636	cover - up
widely	9397908	widely
pop	2355356	pop
culture	29727119	culture
phenomenon ,	825479	phenomenon ,
phenomenon	6733400	phenomenon
synonymous	872420	synonymous
UFOs .	15994	ufos .
UFOs	114752	ufos
ranks	2997609	ranks
publicized	537211	publicized
controversial	2695317	controversial
incidents .	190875	incidents .
incidents	2260294	incidents
ninth ,	64639	ninth ,
ninth	1375227	ninth
forty - seven ,	13409	forty - seven ,
press	13390537	press
release	9663152	release
Army	8591041	army
issued	7478938	issued
stated	11391022	stated
personnel	6648831	personnel
field 's	87539	field 's
Bomb	315135	bomb
Group	11160043	group
' flying	24012	' flying
disc '	3654	disc '
disc	1903814	disc
ranch	1363145	ranch
sparking	109172	sparking
media	15729852	media
interest .	3823545	interest .
interest	43819697	interest
Commanding	207348	commanding
General	24695243	general
Force	4823146	force
personnel ,	835839	personnel ,
rather	55879237	rather
saucer ' .	136	saucer ' .
saucer	268955	saucer
subsequent	9257747	subsequent
conference	6698327	conference
featuring	979031	featuring
description .	766115	description .
description	12722779	description
forgotten	4692028	forgotten
ignored ,	370513	ignored ,
ignored	4524248	ignored
researchers ,	519939	researchers ,
researchers	6315379	researchers
thirty	10504687	thirty
years .	16500442	years .
seventy - eight ,	7025	seventy - eight ,
seventy - eight	71929	seventy - eight
seventy	2497211	seventy
eight	14288445	eight
nuclear	8685357	nuclear
physicist	545764	physicist
author	17424357	author
Stanton	747435	stanton
Friedman	1242691	friedman
interviewed	2150845	interviewed
Jesse	1260434	jesse
Marcel ,	100237	marcel ,
Marcel	913135	marcel
accompanied	6335492	accompanied
Fort	4331192	fort
Worth .	53321	worth .
years ,	16591858	years ,
accounts	10277652	accounts
elevated	3118209	elevated
perhaps	27788792	perhaps
early	54812804	early
nineties ,	96262	nineties ,
nineties	317770	nineties
hundred	16818524	hundred
had ,	3114078	had ,
claimed	8138532	claimed
connection	13490410	connection
events	23608189	events
Additionally ,	1867486	additionally ,
Additionally	1970176	additionally
documents	9219329	documents
obtained	17042186	obtained
Freedom	2877633	freedom
Information	10601544	information
Act	23543949	act
requests ,	278186	requests ,
requests	3288428	requests
insiders	379409	insiders
apparently	8551823	apparently
leaked .	14903	leaked .
leaked	320615	leaked
conclusions	4765162	conclusions
vicinity ,	138654	vicinity ,
vicinity	1638262	vicinity
aliens ,	132331	aliens ,
aliens	932099	aliens
possibly	8857661	possibly
alive ,	1207298	alive ,
alive	6843173	alive
massive	5003859	massive
knowledge	40687619	knowledge
place .	9930931	place .
Numerous	889828	numerous
books ,	3728364	books ,
articles ,	940060	articles ,
articles	7847267	articles
television	10312204	television
specials	181588	specials
made - for - TV	15306	made - for - tv
TV	6812517	tv
movie	5394391	movie
notoriety ,	40681	notoriety ,
notoriety	288987	notoriety
mid	9851397	mid
strong	28509360	strong
majorities	304404	majorities
polls ,	156516	polls ,
polls	953032	polls
ninety - seven	37013	ninety - seven
ninety	1517920	ninety
CNN	468768	cnn
poll ,	113898	poll ,
poll	1064037	poll
visited	5518719	visited
specifically	8183969	specifically
landed	2752089	landed
government	59840428	government
covering	4357427	covering
fact .	1595138	fact .
eighties	556701	eighties
narrative	8853574	narrative
emerged	5866040	emerged
odds	2284178	odds
evolved	3236807	evolved
published	21084592	published
eighty ,	58608	eighty ,
eighty	1915570	eighty
witnesses	3142323	witnesses
emerged ,	367747	emerged ,
drawn	11256498	drawn
publicity	1954005	publicity
incident .	538405	incident .
various	37597647	various
interviewed ,	151745	interviewed ,
seemingly	3029921	seemingly
impressive	2893002	impressive
figure ,	1651100	figure ,
comparable	3778147	comparable
' witnesses '	2403	' witnesses '
aliens .	110495	aliens .
so - called	5143540	so - called
repeating	1532001	repeating
claims	12835191	claims
others ,	8964505	others ,
testimony	4681325	testimony
inadmissible	252193	inadmissible
hearsay	443958	hearsay
