word_x	mean_RT	word_length	word_lower	word_y	frequency
deviate	367.32911392405066	7	deviate	deviate	415371
diagnosed	380.7808219178082	9	diagnosed	diagnosed	1653583
diagnosis	329.42723004694835	9	diagnosis	diagnosis	7071535
diagnostic	351.50704225352115	10	diagnostic	diagnostic	3176470
did	328.8094768015795	3	did	did	164942220
die	317.4712643678161	3	die	die	17676334
died	302.88079470198676	4	died	died	16249807
different	322.9895833333333	9	different	different	94725345
difficult	312.3766233766234	9	difficult	difficult	29966493
difficulties	357.4507042253521	12	difficulties	difficulties	8064589
dig	320.60227272727275	3	dig	dig	1306987
dining	360.37894736842105	6	dining	dining	2910400
directed	299.94444444444446	8	directed	directed	9211710
directly	327.7887323943662	8	directly	directly	21473786
dirt	368.2857142857143	4	dirt	dirt	2469424
disabling	343.95862068965516	9	disabling	disabling	352299
disagreements	368.50666666666666	13	disagreements	disagreements	663187
disappear	392.8421052631579	9	disappear	disappear	2425438
discern	303.1463414634146	7	discern	discern	1055330
discovered	335.28389830508473	10	discovered	discovered	10134571
discrepancy	345.97222222222223	11	discrepancy	discrepancy	992447
distant	349.5681818181818	7	distant	distant	5369442
doctors	374.0567375886525	7	doctors	doctors	4437051
documents	343.0	9	documents	documents	9219329
does	306.1066666666667	4	does	does	97537337
doing	317.86486486486484	5	doing	doing	28432647
dollar	315.0659340659341	6	dollar	dollar	4512285
dominant	441.0869565217391	8	dominant	dominant	7853052
done	354.3276836158192	4	done	done	40695923
door	306.52208835341366	4	door	door	28468168
doorway	329.2926829268293	7	doorway	doorway	1916234
doubt	342.29545454545456	5	doubt	doubt	14188519
downtown	482.505376344086	8	downtown	downtown	1857146
dramatic	330.2083333333333	8	dramatic	dramatic	6068148
draw	335.2168674698795	4	draw	draw	9102897
drawing	340.60843373493975	7	drawing	drawing	8745005
drawn	339.4583333333333	5	drawn	drawn	11256498
dreadful	397.0111111111111	8	dreadful	dreadful	1253651
dress	382.7032967032967	5	dress	dress	6577482
drew	318.2443181818182	4	drew	drew	6347750
drink	352.45882352941175	5	drink	drink	7737324
driven	280.1333333333333	6	driven	driven	7179813
driving	335.2236842105263	7	driving	driving	6322359
drop	406.40437158469945	4	drop	drop	7963603
dropped	289.68674698795184	7	dropped	dropped	7178101
drops	327.67808219178085	5	drops	drops	2565401
dry	333.9054054054054	3	dry	dry	10398401
dubious	386.19444444444446	7	dubious	dubious	868864
duck	380.96590909090907	4	duck	duck	989240
ducks	331.60674157303373	5	ducks	ducks	636351
dug	305.6043956043956	3	dug	dug	1560602
dull	312.94565217391306	4	dull	dull	2135047
dummies	401.48571428571427	7	dummies	dummies	156887
dust	324.30864197530866	4	dust	dust	4736167
each	320.91291291291293	4	each	each	121902893
eagle	355.53714285714284	5	eagle	eagle	922318
ear	305.3155080213904	3	ear	ear	5829757
early	363.7574931880109	5	early	early	54812804
earned	341.5202312138728	6	earned	earned	3868494
earnest	393.3625	7	earnest	earnest	1460895
ears	320.8488372093023	4	ears	ears	4866350
earth	329.4451038575668	5	earth	earth	16796169
easily	350.6388888888889	6	easily	easily	17543865
easy	316.56969696969696	4	easy	easy	18267075
economic	352.2931034482759	8	economic	economic	44242546
economists	341.13157894736844	10	economists	economists	1823948
effects	327.37857142857143	7	effects	effects	32198969
effort	315.55405405405406	6	effort	effort	16657004
eighteen	359.62820512820514	8	eighteen	eighteen	2726135
eighties	370.82608695652175	8	eighties	eighties	556701
either	308.0	6	either	either	45955645
elderly	339.0416666666667	7	elderly	elderly	4691520
elephant	317.85185185185185	8	elephant	elephant	1213127
elevated	372.02666666666664	8	elevated	elevated	3118209
else	323.1927710843373	4	else	else	23413085
emaciated	526.1195652173913	9	emaciated	emaciated	183967
emanate	367.5	7	emanate	emanate	225749
emerged	383.31944444444446	7	emerged	emerged	5866040
emptied	363.44565217391306	7	emptied	emptied	667879
encountered	364.29761904761904	11	encountered	encountered	4172025
encouraged	382.8809523809524	10	encouraged	encouraged	6234031
encouragingly	334.46666666666664	13	encouragingly	encouragingly	68162
end	310.712895377129	3	end	end	66509685
enforce	329.2077922077922	7	enforce	enforce	2141850
enforceable	319.6756756756757	11	enforceable	enforceable	503690
engaged	332.5733333333333	7	engaged	engaged	7793318
enjoy	287.2162162162162	5	enjoy	enjoy	7576280
enjoyed	332.6	7	enjoyed	enjoyed	5898243
enormous	329.6	8	enormous	enormous	5284735
enough	369.6510067114094	6	enough	enough	42301468
enter	317.7142857142857	5	enter	enter	11772759
entered	328.77906976744185	7	entered	entered	11705783
entrance	379.4021739130435	8	entrance	entrance	5072945
environmental	343.84892086330933	13	environmental	environmental	14589692
erase	328.0933333333333	5	erase	erase	582347
establish	314.1142857142857	9	establish	establish	10794353
established	337.15	11	established	established	24167734
estimated	355.8904109589041	9	estimated	estimated	8552136
evening	378.44565217391306	7	evening	evening	12026621
event	324.65384615384613	5	event	event	18031349
events	328.27314814814815	6	events	events	23608189
ever	361.7362637362637	4	ever	ever	39805996
every	322.20661157024796	5	every	every	63144706
everyday	399.8095238095238	8	everyday	everyday	4565185
everyone	351.95402298850576	8	everyone	everyone	14473465
everything	296.2191780821918	10	everything	everything	22592480
evidence	315.3868613138686	8	evidence	evidence	34374951
evolved	356.6901408450704	7	evolved	evolved	3236807
exalted	392.0	7	exalted	exalted	788626
examine	325.81065088757396	7	examine	examine	7511339
excited	364.77407407407406	7	excited	excited	3675168
excitedly	366.68674698795184	9	excitedly	excitedly	380331
excitement	352.6986301369863	10	excitement	excitement	3427417
exhibit	349.0	7	exhibit	exhibit	3681750
existence	324.95522388059703	9	existence	existence	16608192
expectations	325.1081081081081	12	expectations	expectations	6791104
expected	319.2298850574713	8	expected	expected	21880269
expensive	377.3975903614458	9	expensive	expensive	6087651
experience	354.8098591549296	10	experience	experience	43388158
experiences	366.125	11	experiences	experiences	12932100
experimental	394.5068493150685	12	experimental	experimental	7782812
expertise	340.8169014084507	9	expertise	expertise	3645505
explained	326.94444444444446	9	explained	explained	12566891
exposed	317.36619718309856	7	exposed	exposed	6899661
expression	339.2857142857143	10	expression	expression	20601318
extended	345.5753424657534	8	extended	extended	10761527
extra	312.2926829268293	5	extra	extra	7759192
extraordinarily	388.65	15	extraordinarily	extraordinarily	777329
extraordinary	305.55263157894734	13	extraordinary	Extraordinary	251365
extremely	320.1195652173913	9	extremely	extremely	9873741
eye	334.5440251572327	3	eye	eye	15763611
eyes	307.27906976744185	4	eyes	eyes	42210806
face	322.6551724137931	4	face	face	45765806
faced	327.22093023255815	5	faced	faced	7102446
facial	375.42657342657344	6	facial	facial	2210934
fact	317.92986425339365	4	fact	fact	61142902
facto	459.27272727272725	5	facto	facto	1019956
factors	335.0882352941176	7	factors	factors	25057224
fair	353.9714285714286	4	fair	fair	10168232
fall	304.7266666666667	4	fall	fall	18115537
fallen	312.4888888888889	6	fallen	fallen	5034130
falling	374.98285714285714	7	falling	falling	5726190
false	343.3972602739726	5	false	false	8965826
fame	342.9378881987578	4	fame	fame	2125715
families	331.73972602739724	8	families	families	16497146
family	317.0279069767442	6	family	family	63998193
famous	325.22983870967744	6	famous	famous	9360112
fanned	340.34065934065933	6	fanned	fanned	256187
far	305.0989010989011	3	far	far	50059082
faraway	390.47727272727275	7	faraway	faraway	245945
fashionably	429.89772727272725	11	fashionably	fashionably	62603
fast	329.7505518763797	4	fast	fast	11581233
father	331.9	6	father	father	37245167
fear	313.8181818181818	4	fear	fear	17198011
feared	329.36046511627904	6	feared	feared	3268205
fears	319.7613636363636	5	fears	fears	3918488
fearsome	397.271676300578	8	fearsome	fearsome	218485
feathers	337.09090909090907	8	feathers	feathers	1311688
featuring	345.2972972972973	9	featuring	featuring	979031
fed	343.63529411764705	3	fed	fed	3765916
fee	308.64935064935065	3	fee	fee	4461757
feel	297.43891402714934	4	feel	feel	33877718
feeling	305.40645161290325	7	feeling	feeling	17997939
feet	320.787037037037	4	feet	feet	23073556
fell	328.35238095238094	4	fell	fell	12415770
fellow	389.9230769230769	6	fellow	fellow	7640878
felt	329.36326530612246	4	felt	felt	35889439
females	310.55555555555554	7	females	females	4184991
ferocity	402.26190476190476	8	ferocity	ferocity	278431
few	321.16506189821183	3	few	few	64575815
fields	347.5	6	fields	fields	11642665
fifteen	639.7179487179487	7	fifteen	fifteen	5611227
fighting	305.4673913043478	8	fighting	fighting	6930258
figure	322.56382978723406	6	figure	figure	20104468
figured	334.2	7	figured	figured	2453961
filled	302.21768707482994	6	filled	filled	12364416
final	316.7027027027027	5	final	final	21602425
finally	333.1909090909091	7	finally	finally	17208239
find	314.37564322469984	4	find	find	59792457
fine	359.6761363636364	4	fine	fine	15623119
finished	304.9573170731707	8	finished	finished	8993459
fire	332.9810606060606	4	fire	fire	20358097
first	326.12462462462463	5	first	first	172429084
fish	417.2371541501976	4	fish	fish	11132902
fishes	423.0879120879121	6	fishes	fishes	885735
flame	314.53846153846155	5	flame	flame	2296775
flames	334.2911392405063	6	flames	flames	1627160
flapping	335.11494252873564	8	flapping	flapping	297204
flew	326.3675799086758	4	flew	flew	2656765
flies	318.4712643678161	5	flies	flies	1661324
float	301.9347826086956	5	float	float	1460095
floated	355.92391304347825	7	floated	floated	842312
floating	346.45454545454544	8	floating	floating	2718369
flock	336.09090909090907	5	flock	flock	1024358
flocks	329.51162790697674	6	flocks	flocks	500389
floor	300.2910447761194	5	floor	floor	15763266
flour	344.1436464088398	5	flour	flour	2135831
flowed	298.31081081081084	6	flowed	flowed	1098833
flower	334.62025316455697	6	flower	flower	3495072
flowering	337.57142857142856	9	flowering	flowering	1005504
flowers	347.012987012987	7	flowers	flowers	6659621
fly	324.8228571428571	3	fly	fly	5023580
flying	325.70359281437123	6	flying	flying	4200420
foaming	333.31111111111113	7	foaming	foaming	212383
focused	373.5833333333333	7	focused	focused	8093758
folding	359.0681818181818	7	folding	folding	981146
folk	336.04651162790697	4	folk	folk	3479440
followed	315.5824175824176	8	followed	followed	23689125
food	315.31481481481484	4	food	food	29768787
fooled	340.77777777777777	6	fooled	fooled	371279
forest	331.2967032967033	6	forest	forest	9078094
forgot	300.3988764044944	6	forgot	forgot	1964672
forgotten	317.9127516778523	9	forgotten	forgotten	4692028
form	336.1621621621622	4	form	form	68619504
formal	331.7236842105263	6	formal	formal	11940654
forms	330.73873873873873	5	forms	forms	27463164
forty	355.40277777777777	5	forty	forty	6900914
found	324.42942942942943	5	found	found	84394374
founded	369.85333333333335	7	founded	founded	6055898
four	352.3695652173913	4	four	four	49087752
fraction	301.62820512820514	8	fraction	fraction	4070260
free	331.01063829787233	4	free	free	39192789
fresh	324.3764705882353	5	fresh	fresh	9401087
friends	338.8545454545455	7	friends	friends	22974473
frightened	349.4725274725275	10	frightened	frightened	2413075
frogs	335.32608695652175	5	frogs	frogs	550370
frozen	326.4166666666667	6	frozen	frozen	2924343
fry	379.3863636363636	3	fry	fry	521851
fuel	296.8658536585366	4	fuel	fuel	5641113
full	311.69101123595505	4	full	full	39841263
fully	329.85714285714283	5	fully	fully	15213503
fuming	365.04545454545456	6	fuming	fuming	101601
funny	320.5108695652174	5	funny	funny	2653472
furious	317.1195652173913	7	furious	furious	1285256
future	316.88157894736844	6	future	future	33430803
futures	410.56410256410254	7	futures	futures	1247862
gathered	314.2298850574713	8	gathered	gathered	5394781
gave	333.787037037037	4	gave	gave	30520506
geese	312.5217391304348	5	geese	geese	456207
gelid	625.7640449438202	5	gelid	gelid	5523
gene	324.05	4	gene	gene	7687339
generally	386.66396761133603	9	generally	generally	25469457
generated	338.2957746478873	9	generated	generated	8249792
genes	321.33009708737865	5	genes	genes	5345323
genetically	316.9130434782609	11	genetically	genetically	1011585
genial	357.93617021276594	6	genial	genial	292785
gentle	349.8333333333333	6	gentle	gentle	3529333
get	323.96153846153845	3	get	get	86515246
getting	328.962962962963	7	getting	getting	18555552
giant	350.3152173913044	5	giant	giant	3393047
girl	316.25578831312015	4	girl	girl	16352263
girls	289.59090909090907	5	girls	girls	12006242
give	292.0537634408602	4	give	give	51024596
given	342.7293233082707	5	given	given	66612125
giving	320.77639751552795	6	giving	giving	16417665
glass	365.3975903614458	5	glass	glass	12138452
glasses	325.6666666666667	7	glasses	glasses	2785708
glory	321.6989247311828	5	glory	glory	4098901
glowed	332.05555555555554	6	glowed	glowed	407209
go	316.98099260823653	2	go	go	74237337
gobbled	349.855421686747	7	gobbled	gobbled	71105
going	305.70723684210526	5	going	going	55442137
gone	308.33203125	4	gone	gone	17937353
goose	390.4438202247191	5	goose	goose	594511
got	323.9118028534371	3	got	got	43005809
government	327.0783410138249	10	government	government	59840428
grandmother	339.5827205882353	11	grandmother	grandmother	2772794
gray	342.54945054945057	4	gray	gray	4964758
great	364.47457627118644	5	great	great	69441756
greater	315.8181818181818	7	greater	greater	28854831
greatly	405.97402597402595	7	greatly	greatly	7110695
green	800.3510638297872	5	green	green	12917565
grew	319.2672811059908	4	grew	grew	9240118
grimacing	394.81944444444446	9	grimacing	grimacing	78917
grinding	335.9120879120879	8	grinding	grinding	914801
grinned	350.63829787234044	7	grinned	grinned	1562726
ground	312.2637362637363	6	ground	ground	25370252
grow	348.15987460815046	4	grow	grow	9734379
growers	370.2564102564103	7	growers	growers	568212
grown	312.6422764227642	5	grown	grown	7750420
grows	344.2857142857143	5	grows	grows	2907217
grunting	400.6849315068493	8	grunting	grunting	122214
guard	314.59302325581393	5	guard	guard	5217577
guarded	326.08045977011494	7	guarded	guarded	1152523
guile	392.80898876404495	5	guile	guile	119870
gurgling	319.3296703296703	8	gurgling	gurgling	115569
guy	348.4114583333333	3	guy	guy	5546978
had	325.14402205122315	3	had	had	537932901
hair	314.2093023255814	4	hair	hair	16590025
haircut	361.1607142857143	7	haircut	haircut	210866
half	332.07865168539325	4	half	half	36278645
hall	300.16738197424894	4	hall	Hall	8981738
hand	297.7303370786517	4	hand	hand	63081980
handed	311.02659574468083	6	handed	handed	5039115
hands	322.9325842696629	5	hands	hands	29361361
handsome	355.4823529411765	8	handsome	handsome	2651402
hang	331.2530120481928	4	hang	hang	2829330
happy	348.2295081967213	5	happy	happy	12121639
hard	296.73895582329317	4	hard	hard	30493645
harsher	355.87179487179486	7	harsher	harsher	211491
has	327.51466666666664	3	has	has	336617760
hated	360.18918918918916	5	hated	hated	2514435
hateful	330.94736842105266	7	hateful	hateful	314340
hating	342.9651162790698	6	hating	hating	301322
have	319.7889809146561	4	have	have	593092485
having	311.94152046783626	6	having	having	42656711
hawk	356.25	4	hawk	hawk	451703
head	338.9365558912387	4	head	head	48252042
heads	349.8666666666667	5	heads	heads	7111834
hear	308.7302052785924	4	hear	hear	18622526
heard	311.43488372093026	5	heard	heard	26357604
hearing	327.0138888888889	7	hearing	hearing	8699831
hearsay	399.4166666666667	7	hearsay	hearsay	443958
heart	344.69827586206895	5	heart	heart	32678215
heavy	332.338747099768	5	heavy	heavy	13424014
held	318.38188976377955	4	held	held	35236312
help	313.05	4	help	help	53942915
helped	319.88461538461536	6	helped	helped	11341770
helping	339.7162162162162	7	helping	helping	5842856
here	308.1939393939394	4	here	here	77002046
herself	308.5357142857143	7	herself	herself	20074494
hesitantly	382.7866666666667	10	hesitantly	hesitantly	183850
hid	322.56111111111113	3	hid	hid	1302076
hidden	354.7186311787072	6	hidden	hidden	6412449
hide	340.00583090379007	4	hide	hide	4034362
hides	317.53409090909093	5	hides	hides	799709
hiding	310.3179190751445	6	hiding	hiding	2401429
high	332.3141654978962	4	high	high	78531970
highest	342.21590909090907	7	highest	highest	10194893
highly	362.126582278481	6	highly	highly	17644939
him	323.96881644223953	3	him	him	230330497
himself	343.90084985835693	7	himself	himself	51056413
hit	311.6149732620321	3	hit	hit	9467805
hoaxes	375.6	6	hoaxes	hoaxes	33648
holding	326.8076923076923	7	holding	holding	11695702
hole	316.46264367816093	4	hole	hole	5831470
home	331.2869318181818	4	home	home	58425147
hoovered	421.9759036144578	8	hoovered	hoovered	2093
hope	313.80281690140845	4	hope	hope	18868214
hopping	386.625	7	hopping	hopping	375893
horse	364.0681818181818	5	horse	horse	9634789
hosts	352.9428571428571	5	hosts	hosts	1804151
hour	343.5744680851064	4	hour	hour	16736533
hours	309.3855421686747	5	hours	hours	25015518
houses	338.81081081081084	6	houses	houses	9878238
hovel	435.4673913043478	5	hovel	hovel	73520
hummed	432.3139534883721	6	hummed	hummed	184482
hundred	387.23636363636365	7	hundred	hundred	16818524
hundreds	334.6970954356847	8	hundreds	hundreds	5212001
hung	350.4269662921348	4	hung	hung	4583020
hunting	309.6666666666667	7	hunting	hunting	3880630
huntsman	318.6575240919199	8	huntsman	huntsman	60870
huntsmen	308.0238095238095	8	huntsmen	huntsmen	31747
hurried	368.7567567567568	7	hurried	hurried	1948452
hurry	293.73333333333335	5	hurry	hurry	1864167
idea	311.8503937007874	4	idea	idea	32654099
ideal	342.8690476190476	5	ideal	ideal	9395146
identified	338.15277777777777	10	identified	identified	14492759
ignore	301.89156626506025	6	ignore	ignore	3536275
imagine	346.92857142857144	7	imagine	imagine	7187692
imagined	317.4130434782609	8	imagined	imagined	3662569
impact	304.25	6	impact	impact	18404514
impatient	312.1341463414634	9	impatient	impatient	1051793
impending	346.35555555555555	9	impending	impending	918622
important	331.3046357615894	9	important	important	77762315
impressive	354.43835616438355	10	impressive	impressive	2893002
improvement	369.9054054054054	11	improvement	improvement	7640531
inadmissible	405.65277777777777	12	inadmissible	inadmissible	252193
include	352.64493758668516	7	include	include	35320768
including	373.64150943396226	9	including	including	45597635
income	348.39240506329116	6	income	income	24966740
increasingly	337.31168831168833	12	increasingly	increasingly	9891935
indeed	338.6511627906977	6	indeed	indeed	17667180
individuals	316.2987012987013	11	individuals	individuals	22589212
infected	386.35	8	infected	infected	2850883
inflated	330.62820512820514	8	inflated	inflated	587352
inheritance	376.5149253731343	11	inheritance	inheritance	2551711
inherited	377.74626865671644	9	inherited	inherited	2707590
injured	347.35714285714283	7	injured	injured	2922811
innocently	388.51408450704224	10	innocently	innocently	279778
inquiry	338.90140845070425	7	inquiry	inquiry	4046605
insensitive	404.0240963855422	11	insensitive	insensitive	634046
insiders	410.28	8	insiders	insiders	379409
instance	336.93023255813955	8	instance	instance	18016127
instead	371.64130434782606	7	instead	instead	19406033
intending	339.43589743589746	9	intending	intending	628029
intense	408.0748299319728	7	intense	intense	5410331
intentions	321.72527472527474	10	intentions	intentions	2998233
internal	331.3142857142857	8	internal	internal	15832625
interviewed	365.9121621621622	11	interviewed	interviewed	2150845
intrinsic	516.5064935064935	9	intrinsic	intrinsic	2646700
introduced	389.8875	10	introduced	introduced	12941807
investors	331.1038961038961	9	investors	investors	3940338
invited	393.2386363636364	7	invited	invited	5067831
involuntary	427.4657534246575	11	involuntary	involuntary	973945
involve	330.5	7	involve	involve	7204223
involved	323.97902097902096	8	involved	involved	27319869
involves	388.84722222222223	8	involves	involves	9749250
involving	388.85276073619633	9	involving	involving	7881037
iron	319.25	4	iron	iron	9018328
irrationally	341.83116883116884	12	irrationally	irrationally	75659
is	332.0757058641018	2	is	is	1780724214
issue	341.36046511627904	5	issue	issue	26967886
issued	360.8378378378378	6	issued	issued	7478938
item	337.17721518987344	4	item	item	7431579
its	325.5936739659367	3	its	its	259806050
jealous	366.1333333333333	7	jealous	jealous	1313951
jennies	539.3176470588236	7	jennies	jennies	4296
job	311.7241379310345	3	job	job	25803539
join	316.1576086956522	4	join	join	7989363
journalist	345.2236842105263	10	journalist	journalist	1655119
journey	329.63837638376384	7	journey	journey	6826751
joy	304.4945054945055	3	joy	joy	5858259
joyous	376.02197802197804	6	joyous	joyous	518199
judges	314.92	6	judges	judges	3974830
judging	344.1081081081081	7	judging	judging	1244700
jumped	317.87951807228916	6	jumped	jumped	2900435
just	308.6138996138996	4	just	just	113263289
keep	324.45772594752185	4	keep	keep	32794260
keeps	304.1931818181818	5	keeps	keeps	3582898
kept	345.37704918032784	4	kept	kept	19944712
kill	311.22352941176473	4	kill	kill	7599359
killed	320.8169934640523	6	killed	killed	11238786
kindly	337.0722222222222	6	kindly	kindly	1664380
king	370.8857142857143	4	king	king	13253011
kneeled	316.6707317073171	7	kneeled	kneeled	87036
knew	322.972602739726	4	knew	knew	37182349
know	315.4193548387097	4	know	know	103090059
knowing	320.4342105263158	7	knowing	knowing	8651713
knowledge	342.32876712328766	9	knowledge	knowledge	40687619
known	336.0839416058394	5	known	known	48608768
l'Ecluse	467.4177215189873	8	l'ecluse	l'Ecluse	0
la	486.38028169014086	2	la	la	25309478
lab	339.4225352112676	3	lab	lab	1750462
laboratory	311.9130434782609	10	laboratory	laboratory	5381003
lain	362.3333333333333	4	lain	lain	396508
land	322.6530612244898	4	land	land	36688838
landed	313.5890410958904	6	landed	landed	2752089
lands	357.8863636363636	5	lands	lands	5781753
lanky	328.4054054054054	5	lanky	lanky	127017
large	315.04911591355597	5	large	large	65165705
larger	326.04651162790697	6	larger	larger	19120633
last	316.71223021582733	4	last	last	57574244
lasting	339.03105590062114	7	lasting	lasting	2601928
lasts	333.2027027027027	5	lasts	lasts	887350
latched	309.2739726027397	7	latched	latched	113327
late	332.84444444444443	4	late	late	29067082
laughed	324.18674698795184	7	laughed	laughed	5955735
launched	367.65277777777777	8	launched	launched	3287918
lay	337.7150837988827	3	lay	lay	13552915
leads	313.09859154929575	5	leads	leads	10129834
leaning	338.04395604395603	7	leaning	leaning	1789890
leaped	339.9642857142857	6	leaped	leaped	771890
leaping	331.7	7	leaping	leaping	489711
learn	304.8936170212766	5	learn	learn	18725006
least	314.6561085972851	5	least	least	48582456
leaves	322.6923076923077	6	leaves	leaves	11306879
leaving	361.0444444444444	7	leaving	leaving	11955888
left	345.3265306122449	4	left	left	65369345
legend	455.28735632183907	6	legend	legend	2154194
legs	345.9120879120879	4	legs	legs	7656636
less	331.12587412587413	4	less	less	66492927
lesser	320.36708860759495	6	lesser	lesser	3073483
let	331.5905882352941	3	let	let	35077105
levels	373.1794871794872	6	levels	levels	27247134
lies	320.98823529411766	4	lies	lies	9119275
life	325.2391304347826	4	life	life	120194864
light	322.93537964458807	5	light	light	42409052
lights	359.68888888888887	6	lights	lights	4876964
like	317.5154304277206	4	like	like	167991828
liked	319.6481994459834	5	liked	liked	6186837
likely	321.07067137809184	6	likely	likely	31832191
lilac	345.6923076923077	5	lilac	lilac	185440
limited	312.52702702702703	7	limited	limited	22223315
little	331.24751958224545	6	little	little	78869880
littlest	312.46590909090907	8	littlest	littlest	30873
live	291.6341463414634	4	live	live	26729203
lived	324.90588235294115	5	lived	lived	16317525
living	329.89385474860336	6	living	living	29569532
lo	367.02222222222224	2	lo	lo	1835109
local	307.4470588235294	5	local	local	44984524
located	424.8735632183908	7	located	located	11818537
lonely	323.13953488372096	6	lonely	lonely	2129873
lonesome	402.25	8	lonesome	lonesome	163844
long	301.54296875	4	long	long	95494675
longer	312.9310344827586	6	longer	longer	28040212
look	303.7926267281106	4	look	look	47510867
looked	324.1214109926169	6	looked	looked	37086942
looking	356.0730337078652	7	looking	looking	26020896
looks	350.6666666666667	5	looks	looks	10558295
losing	352.84615384615387	6	losing	losing	4480292
lost	353.4611111111111	4	lost	lost	24735186
lot	323.7105263157895	3	lot	lot	21269989
loud	358.67105263157896	4	loud	loud	4009477
loudest	275.3918918918919	7	loudest	loudest	154069
love	297.15246636771303	4	love	love	42743185
loved	305.8888888888889	5	loved	loved	9427047
loving	350.24175824175825	6	loving	loving	3752220
low	365.625	3	low	low	40087210
lower	327.9782608695652	5	lower	lower	28478850
lowering	356.8	8	lowering	lowering	1478916
luck	381.1912568306011	4	luck	luck	3228871
lucky	301.55555555555554	5	lucky	lucky	2678763
luxury	382.44303797468353	6	luxury	luxury	1972412
lying	403.8666666666667	5	lying	lying	6109484
machine	357.41711229946526	7	machine	machine	11313867
made	316.47194244604316	4	made	made	132945317
magnetic	366.9142857142857	8	magnetic	magnetic	5453796
magnifying	330.08641975308643	10	magnifying	magnifying	254574
main	328.09302325581393	4	main	main	29437798
maintain	403.0810810810811	8	maintain	maintain	12314211
maintains	359.041095890411	9	maintains	maintains	2367582
majorities	361.2972972972973	10	majorities	majorities	304404
majority	355.64864864864865	8	majority	majority	14796835
make	308.52694610778445	4	make	make	111219711
makes	316.2261904761905	5	makes	makes	29037262
making	331.79661016949154	6	making	making	44514896
males	322.44444444444446	5	males	males	4814665
man	306.9250749250749	3	man	man	97465290
manage	321.84722222222223	6	manage	manage	5938517
mania	350.7350427350427	5	mania	mania	458023
masses	313.1927710843373	6	masses	masses	3770528
massive	323.3918918918919	7	massive	massive	5003859
match	326.5157728706625	5	match	match	6404010
matches	359.7142857142857	7	matches	matches	1817726
material	368.28169014084506	8	material	material	30705891
matron	349.81623277182234	6	matron	matron	214787
matter	334.7022471910112	6	matter	matter	36582008
maybe	335.2826086956522	5	maybe	maybe	8076865
me	303.31254237288135	2	me	me	196933753
meadows	378.7816091954023	7	meadows	meadows	559055
mean	345.9010989010989	4	mean	mean	33028765
meant	330.5857142857143	5	meant	meant	15115492
media	404.17333333333335	5	media	media	15729852
meet	343.23333333333335	4	meet	meet	19601213
meeting	347.03409090909093	7	meeting	meeting	18991526
memories	378.09389671361504	8	memories	memories	4520369
merchants	330.0769230769231	9	merchants	merchants	2625721
merry	349.56043956043953	5	merry	merry	725960
message	362.468085106383	7	message	message	15214329
messages	330.1140939597315	8	messages	messages	6289314
messaging	335.4736842105263	9	messaging	messaging	349133
met	362.92	3	met	met	18391232
metaphorically	349.36486486486484	14	metaphorically	metaphorically	323731
microphone	320.05405405405406	10	microphone	microphone	771874
mid	350.9594594594595	3	mid	mid	9851397
middle	296.59119496855345	6	middle	middle	19971508
might	339.63169164882225	5	might	might	86236716
mild	339.44594594594594	4	mild	mild	3201166
milder	442.4189189189189	6	milder	milder	313932
miles	363.2988505747126	5	miles	miles	14192801
military	351.83391003460207	8	military	military	24266208
mill	402.83620689655174	4	mill	mill	2322536
million	346.2386363636364	7	million	million	21837221
mind	344.28915662650604	4	mind	mind	42835533
minimize	301.8732394366197	8	minimize	minimize	2618420
minimum	331.8611111111111	7	minimum	minimum	9813077
minutes	302.622754491018	7	minutes	minutes	19913825
misdiagnose	423.7464788732394	11	misdiagnose	misdiagnose	4813
missing	322.1904761904762	7	missing	missing	5863582
mist	382.5054945054945	4	mist	mist	1148616
mistake	348.48809523809524	7	mistake	mistake	4855710
mobile	379.9078947368421	6	mobile	mobile	3866719
mockery	347.46153846153845	7	mockery	mockery	428089
mode	364.8840579710145	4	mode	mode	10964783
moderate	330.13698630136986	8	moderate	moderate	4397119
modern	352.1842105263158	6	modern	modern	23333779
moment	309.0238095238095	6	moment	moment	29123824
money	354.60674157303373	5	money	money	37145420
months	326.97333333333336	6	months	months	25863713
moody	362.0879120879121	5	moody	moody	178771
moors	395.43023255813955	5	moors	moors	116892
more	325.3112874779541	4	more	more	329429635
morning	314.5581395348837	7	morning	morning	22128226
mother	344.7168674698795	6	mother	mother	39696579
motioned	333.8723404255319	8	motioned	motioned	584481
motionless	364.3296703296703	10	motionless	motionless	706216
motor	351.6804733727811	5	motor	motor	6581690
mountain	342.3736263736264	8	mountain	mountain	6678638
mouse	357.4488636363636	5	mouse	mouse	3954755
mouth	355.2298850574713	5	mouth	mouth	13275186
move	303.48936170212767	4	move	move	24909837
moved	339.2280701754386	5	moved	moved	19311958
movement	351.2328767123288	8	movement	movement	26884278
movements	353.9861111111111	9	movements	movements	9613806
movie	341.2	5	movie	movie	5394391
multicolored	406.5064935064935	12	multicolored	multicolored	126337
muscle	351.4657534246575	6	muscle	muscle	8663633
muscles	340.7887323943662	7	muscles	muscles	5042961
music	301.81081081081084	5	music	music	21118941
must	314.378640776699	4	must	must	124852809
myself	303.247311827957	6	myself	myself	19447387
mysterious	372.8072289156627	10	mysterious	mysterious	2586545
naked	384.77472527472526	5	naked	naked	2966278
